INC Number,Issue Description,Category,Priority,Work Notes,Resolution Notes,Start Time,End Time,Assignment Group,Assignee,Customer Score,Customer Review
INC10000,Email not syncing,Email,Medium,Work initiated on issue: Email not syncing,Issue resolved: Email not syncing,1/2/2025 23:00,1/3/2025 4:00,Network Team,Alice Smith,1,Excellent
INC10001,Email not syncing,Email,Low,Work initiated on issue: Email not syncing,Issue resolved: Email not syncing,2/7/2025 13:00,2/7/2025 14:00,IT Support,Alice Smith,2,Excellent
INC10002,Access denied to shared folder,Access,Critical,Work initiated on issue: Access denied to shared folder,Issue resolved: Access denied to shared folder,1/2/2025 17:00,1/2/2025 21:00,Network Team,Priya Sharma,5,Bad
INC10003,Network connectivity issue,Network,Critical,Work initiated on issue: Network connectivity issue,Issue resolved: Network connectivity issue,2/18/2025 5:00,2/18/2025 17:00,Security Ops,Ravi Kumar,2,Neutral
INC10004,VPN connection failure,VPN,Low,Work initiated on issue: VPN connection failure,Issue resolved: VPN connection failure,1/7/2025 2:00,1/7/2025 9:00,Security Ops,Ravi Kumar,5,Bad
INC10005,Network connectivity issue,Network,Low,Work initiated on issue: Network connectivity issue,Issue resolved: Network connectivity issue,2/16/2025 14:00,2/16/2025 23:00,Database Admin,John Doe,5,Bad
INC10006,Access denied to shared folder,Access,Low,Work initiated on issue: Access denied to shared folder,Issue resolved: Access denied to shared folder,1/24/2025 18:00,1/24/2025 22:00,IT Support,Sara Khan,2,Bad
INC10007,Email not syncing,Email,High,Work initiated on issue: Email not syncing,Issue resolved: Email not syncing,1/15/2025 3:00,1/15/2025 10:00,Database Admin,Sara Khan,3,Neutral
INC10008,VPN connection failure,VPN,High,Work initiated on issue: VPN connection failure,Issue resolved: VPN connection failure,1/23/2025 6:00,1/23/2025 17:00,IT Support,David Lee,2,Excellent
INC10009,Slow system performance,System,High,Work initiated on issue: Slow system performance,Issue resolved: Slow system performance,1/11/2025 14:00,1/11/2025 21:00,Application Support,Alice Smith,3,Good
INC10010,Slow system performance,System,High,Work initiated on issue: Slow system performance,Issue resolved: Slow system performance,1/3/2025 10:00,1/3/2025 17:00,IT Support,Alice Smith,5,Bad
INC10011,Slow system performance,System,Critical,Work initiated on issue: Slow system performance,Issue resolved: Slow system performance,2/11/2025 15:00,2/11/2025 22:00,Network Team,Ravi Kumar,2,Neutral
INC10012,Software installation failure,Software,Critical,Work initiated on issue: Software installation failure,Issue resolved: Software installation failure,2/4/2025 8:00,2/4/2025 20:00,Application Support,Priya Sharma,3,Neutral
INC10013,Application crash,Application,Low,Work initiated on issue: Application crash,Issue resolved: Application crash,2/2/2025 15:00,2/2/2025 17:00,IT Support,Alice Smith,2,Very Good
